text	label
extremely well cast , especially in the large number of supporting roles . 	1
'bloody magic' is the story of zack , an eleven year old school boy , who's family is visited by three debt collectors . 	0
a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933 . 	1
however , jane , wendy's 12-year-old daughter , sees it all as make believe and refuses to believe in the tales . 	0
a dark , quirky road movie that constantly defies expectation . 	1
"called "" an elegant documentary "" by sundance and "" eloquent and deeply moving "" by the la times , toyo miyatake : infinite shades of gray is a penetrating portrait of this photographer's search for truth and beauty in a world of impermanence . "	0
impostor doesn't do much with its template , despite a remarkably strong cast . 	1
straight up : helicopters in action will take audiences on a series of aerial adventures . 	0
though it lacks the utter authority of a genre gem , there's a certain robustness to this engaging mix of love and bloodletting . 	1
a lapp woman anni gives a shelter to both of them at her farm . 	0
if you can keep your eyes open amid all the blood and gore , you'll see del toro has brought unexpected gravity to blade ii . 	1
it also touches on the encroachment of christianity brought by the missionaries , which is at odds with mepe's tribal and traditional roots . 	0
there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening . 	1
a set of grisly murders brings fbi agent will graham ( norton ) out of retirement and puts him in search of an atrocious killer ( fiennes ) who's driven by the image of a painting . 	0
a work that lacks both a purpose and a strong pulse . 	1
soon , the team begins to suspect that knowles' main objective is actually to recover the prototype of a dna testing machine called the huxley project , which his company has spent years and millions of dollars developing . 	0
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid . 	1
his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure that will transform their lives . 	0
a mimetic approximation of better films like contempt and 8 1/2 . 	1
with a rare gift for melding subjectivity with biographical facts , m&#225 ; rton brings sabina spielrein back to life , body and soul . 	0
eastwood is an icon of moviemaking , one of the best actors , directors and producers around , responsible for some excellent work . but even a hero can stumble sometimes . 	1
seeking a mental escape , simone begins to tune into what's happening with the other couples around her . 	0
nair doesn't use [monsoon wedding] to lament the loss of culture . instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions . 	1
the beatle fan is a drama about albert , a psychotic prisoner who is a devoted fan of john lennon and the beatles . 	0
stuffed to the brim with ideas , american instigator michael moore's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition . 	1
then , in 1974 , something incredible happened - they fell in love . 	0
 . . . a joke at once flaky and resonant , lightweight and bizarrely original . 	1
"on her deathbed , candice klein accidentally asks the question , "" what did i ever do to deserve this ? "" "	0
fontaine's direction , especially her agreeably startling use of close-ups and her grace with a moving camera , creates sheerly cinematic appeal . 	1
"shot as a "" behind-the-scenes "" look at how a fictional kung-fu movie is made , the film is basically a movie about the making of a movie . "	0
starts slowly , but adrien brody � in the title role � helps make the film's conclusion powerful and satisfying . 	1
before the investigation ends , we've met boyfriends , a drug dealer , alicia's mom , hadley's dad , nurses , doctors , and an orderly . 	0
a refreshing change from the usual whoopee-cushion effort aimed at the youth market . 	1
but what exactly is good &#38 ; what exactly is evil ? 	0
you really have to salute writer-director haneke ( he adapted elfriede jelinek's novel ) for making a film that isn't nearly as graphic but much more powerful , brutally shocking and difficult to watch . 	1
the movie takes place in mexico , 2002 ( based on a story from the 1800's ) . 	0
barry convinces us he's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful . 	1
rainone's love affair with singing sensation kelly mcguire whom he discovered and his near demise by the hands of his own prot&#233 ; g&#233 ; vincent riccola is the juice that fuels this roller coaster ride through two debauchery-filled decades of greed , sex , drugs and rock and roll . 	0
a distant , even sterile , yet compulsively watchable look at the sordid life of hogan's heroes star bob crane . 	1
trapped in a lovers triangle and ruthless game of lust , greed , and betrayal we follow one woman's hypnotic journey to discover her true self . . . 	0
there's no disguising this as one of the worst films of the summer . or for the year , for that matter . 	1
decent-but-dull dek loves shirley , so much so that he humiliates her by proposing without warning on national television . 	0
director dan verete uses his camera as the metaphoric needle , and his cast in each segment as his thread , to form a sweeping tapestry of mis-explanation and contention . 	1
since all her architects are either busy otherwise or too conservative in style , this ambivalent honour falls to numerobis . 	0
waydowntown just like most large cities , isn't somewhere you'll want to spend the rest of your life , but it sure is a fun place to visit for a while . 	1
there's a story that goes around the town of darkness falls about her , and she's called the tooth fairy . 	0
the acting in pauline and paulette is good all round , but what really sets the film apart is debrauwer's refusal to push the easy emotional buttons . 	1
a strange film employing old home movies and newly shot footage in an effort to expose one hungarian family and their mutiple problems from the 1940s to current . 	0
the only young people who possibly will enjoy it are infants . . . who might be distracted by the movie's quick movements and sounds . 	1
matsumoto and sawako were a happy couple , but meddling parents and chase for success push the boy to a tragic choice . 	0
